"Rank","Player","Team","Bye","POS","AVG"
"194","Mike Washington Jr.","LV","13","RB58","195.0"
"195","Eli Stowers","PHI","10","TE29","196.0"
"196","Jacoby Brissett","ARI","14","QB30","197.0"
"197","Kaytron Allen","WAS","7","RB59","198.0"
"198","Ray Davis","BUF","7","RB60","199.0"
"199","Braelon Allen","NYJ","13","RB61","200.0"
"200","Terrance Ferguson","LAR","11","TE30","201.0"
"201","Darnell Mooney","NYG","8","WR80","202.0"
"202","Cooper Kupp","SEA","11","WR81","203.0"
"203","Tua Tagovailoa","ATL","11","QB31","204.0"
"204","David Njoku","LAC","7","TE31","205.0"
"205","Elijah Sarratt","BAL","13","WR82","206.0"
"206","MarShawn Lloyd","GB","11","RB62","207.0"
"207","Mike Gesicki","CIN","6","TE32","208.0"
"208","Troy Franklin","DEN","10","WR83","209.0"
"209","Jaydon Blue","DAL","14","RB63","210.0"
"210","Pat Bryant","DEN","10","WR84","211.0"
"211","Jordan James","SF","8","RB64","212.0"
"212","Jaylin Noel","HOU","8","WR85","213.0"
"213","George Holani","SEA","11","RB65","214.0"
"214","Tyreek Hill","","","WR86","215.0"
"215","Kayshon Boutte","NE","11","WR87","216.0"
"216","Chris Bell","MIA","6","WR88","217.0"
"217","Chris Brazzell II","CAR","5","WR89","218.0"
"218","Malachi Fields","NYG","8","WR90","219.0"
"219","Demond Claiborne","MIN","6","RB66","220.0"
"220","Tory Horton","SEA","11","WR91","221.0"
"221","Keon Coleman","BUF","7","WR92","222.0"
"222","Colby Parkinson","LAR","11","TE33","223.0"
"223","Rashod Bateman","BAL","13","WR93","224.0"
"224","Deshaun Watson","CLE","11","QB32","225.0"
"225","Christian Kirk","SF","8","WR94","226.0"
"226","Darnell Washington","PIT","9","TE34","227.0"
"227","Justice Hill","BAL","13","RB67","228.0"
"228","Kaelon Black","SF","8","RB68","229.0"
"229","Michael Penix Jr.","ATL","11","QB33","230.0"
"230","Evan Engram","DEN","10","TE35","231.0"
"231","Kimani Vidal","LAC","7","RB69","232.0"
"232","Tyquan Thornton","KC","5","WR95","233.0"
"233","Shedeur Sanders","CLE","11","QB34","234.0"
"234","Devaughn Vele","NO","8","WR96","235.0"
"235","Ja'Kobi Lane","BAL","13","WR97","236.0"
"236","Jake Tonges","SF","8","TE36","237.0"
"237","Emanuel Wilson","SEA","11","RB70","238.0"
"238","James Conner","ARI","14","RB71","239.0"
"239","Skyler Bell","BUF","7","WR98","240.0"
"240","Andrei Iosivas","CIN","6","WR99","241.0"
"241","Michael Mayer","LV","13","TE37","242.0"
"242","Zavion Thomas","CHI","10","WR100","243.0"
"243","Samaje Perine","CIN","6","RB72","244.0"
"244","Jack Bech","LV","13","WR101","245.0"
"245","Kirk Cousins","LV","13","QB35","246.0"
"246","Chimere Dike","TEN","9","WR102","247.0"
"247","Darius Slayton","NYG","8","WR103","248.0"
"248","Theo Johnson","NYG","8","TE38","249.0"
"249","Jaylen Wright","MIA","6","RB73","250.0"
"250","Ja'Tavion Sanders","CAR","5","TE39","251.0"
"251","LeQuint Allen Jr.","JAC","7","RB74","252.0"
"252","Malik Davis","DAL","14","RB75","253.0"
"253","DJ Giddens","IND","13","RB76","254.0"
"254","Keenan Allen","LAC","7","WR104","255.0"
"255","Jalen Tolbert","MIA","6","WR105","256.0"
"256","Caleb Douglas","MIA","6","WR106","257.0"
"257","Carson Beck","ARI","14","QB36","258.0"
"258","Oscar Delp","NO","8","TE40","259.0"
"259","Adam Randall","BAL","13","RB77","260.0"
"260","Ollie Gordon II","MIA","6","RB78","261.0"
"261","Dawson Knox","BUF","7","TE41","262.0"
"262","Chris Brooks","GB","11","RB79","263.0"
"263","Brenen Thompson","LAC","7","WR107","264.0"
"264","Eli Raridon","NE","11","TE42","265.0"
"265","Devontez Walker","BAL","13","WR108","266.0"
"266","Mason Taylor","NYJ","13","TE43","267.0"
"267","Charlie Kolar","LAC","7","TE44","268.0"
"268","Savion Williams","GB","11","WR109","269.0"
"269","Hollywood Brown","PHI","10","WR110","270.0"
"270","Ty Johnson","BUF","7","RB80","271.0"
"271","Elic Ayomanor","TEN","9","WR111","272.0"
"272","J.J. McCarthy","MIN","6","QB37","273.0"
